                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.44165,                0.25716,                0.92596,                0.94824,                0.88972,                 0.9518,                0.84646,                0.60241,                 0.5194,                 1.0778,             0.00054073,             0.00054073,             0.00054073
                     76,                0.43502,                 0.2561,                0.91864,                0.94423,                0.86745,                0.93521,                 0.8068,                0.61761,                0.51591,                 1.0899,             0.00052074,             0.00052074,             0.00052074
                     77,                0.44058,                0.25588,                0.92619,                0.93808,                0.88689,                0.94151,                0.82617,                0.61165,                0.49629,                 1.0872,             0.00050075,             0.00050075,             0.00050075
                     78,                0.43185,                0.25506,                0.92534,                0.93259,                0.90419,                0.95088,                0.83839,                0.60656,                0.48457,                 1.0871,             0.00048076,             0.00048076,             0.00048076
                     79,                0.43498,                0.25736,                0.92176,                0.92375,                0.91085,                0.95032,                0.84343,                0.59179,                0.46338,                 1.0776,             0.00046077,             0.00046077,             0.00046077
                     80,                0.42778,                0.25166,                0.91985,                0.93625,                0.86968,                0.92706,                 0.8171,                0.62714,                0.59177,                 1.0907,             0.00044078,             0.00044078,             0.00044078
                     81,                0.42695,                 0.2479,                 0.9184,                0.94328,                0.89288,                0.94363,                0.84319,                0.60139,                0.52244,                 1.0678,             0.00042079,             0.00042079,             0.00042079
                     82,                0.42173,                0.24808,                0.91453,                0.92762,                0.87957,                0.94022,                0.82596,                0.60905,                0.50532,                  1.085,              0.0004008,              0.0004008,              0.0004008
                     83,                0.42303,                0.24506,                0.91503,                0.93852,                0.88623,                0.94308,                0.83381,                0.60161,                0.51471,                 1.0708,             0.00038081,             0.00038081,             0.00038081
                     84,                 0.4168,                0.24016,                0.91099,                0.93922,                0.87398,                0.93779,                0.83988,                0.59266,                0.59942,                  1.077,             0.00036082,             0.00036082,             0.00036082
                     85,                0.41335,                0.23832,                0.90946,                0.93013,                0.86627,                0.93403,                0.82864,                0.61246,                0.58319,                 1.0959,             0.00034083,             0.00034083,             0.00034083
                     86,                0.41035,                 0.2376,                0.91264,                0.93435,                0.87292,                0.93736,                0.83781,                0.60163,                0.59331,                  1.087,             0.00032084,             0.00032084,             0.00032084
                     87,                0.40537,                0.23589,                 0.9081,                0.94636,                0.89222,                0.94902,                0.83947,                0.60387,                0.48449,                 1.0907,             0.00030085,             0.00030085,             0.00030085
                     88,                0.40596,                0.23497,                 0.9145,                0.93956,                0.86887,                0.92855,                0.81755,                0.62383,                0.57817,                 1.1031,             0.00028086,             0.00028086,             0.00028086
                     89,                 0.4011,                0.23035,                0.90425,                0.94885,                0.87957,                0.94388,                0.84357,                0.59755,                0.53515,                 1.0867,             0.00026087,             0.00026087,             0.00026087
                     90,                0.39722,                 0.2287,                0.90449,                0.93149,                0.88024,                0.93216,                0.82192,                0.60302,                 0.5243,                 1.0877,             0.00024088,             0.00024088,             0.00024088
                     91,                0.42188,                0.22214,                0.92071,                 0.9457,                0.86903,                0.93553,                0.82804,                0.61013,                0.54316,                 1.0964,             0.00022089,             0.00022089,             0.00022089
                     92,                0.39111,                0.21008,                0.90243,                0.95122,                0.88222,                0.94615,                0.84697,                 0.6014,                0.51845,                 1.0895,              0.0002009,              0.0002009,              0.0002009
                     93,                0.38702,                0.20688,                0.90379,                 0.9517,                0.86516,                0.94066,                0.83767,                0.61745,                0.55957,                 1.1032,             0.00018091,             0.00018091,             0.00018091
                     94,                0.37277,                0.19998,                0.89386,                 0.9411,                0.87492,                0.94419,                0.84114,                0.60489,                0.52754,                 1.0888,             0.00016092,             0.00016092,             0.00016092
                     95,                0.37418,                0.19904,                0.89428,                0.92645,                0.88756,                 0.9449,                0.84283,                0.61062,                  0.527,                 1.0945,             0.00014093,             0.00014093,             0.00014093
                     96,                0.36527,                0.19492,                0.89174,                0.94849,                0.86984,                0.94483,                0.84223,                0.60756,                0.53043,                 1.0936,             0.00012094,             0.00012094,             0.00012094
                     97,                0.36735,                0.19596,                0.89234,                0.94682,                0.86468,                0.94472,                0.84286,                0.60672,                0.54698,                 1.0965,             0.00010095,             0.00010095,             0.00010095
                     98,                0.36913,                0.19686,                0.88895,                0.93138,                0.87596,                0.94231,                0.83799,                0.60818,                0.54155,                 1.0997,              8.096e-05,              8.096e-05,              8.096e-05
                     99,                0.35743,                0.19251,                0.88928,                 0.9405,                0.87425,                0.94537,                 0.8435,                0.60363,                0.52707,                 1.0992,              6.097e-05,              6.097e-05,              6.097e-05
                    100,                0.35527,                0.19101,                0.88383,                0.95537,                0.86886,                0.94694,                0.84797,                0.60303,                0.52703,                 1.0953,              4.098e-05,              4.098e-05,              4.098e-05
